step_index,iteration,model_index,model_name,model_path,activate_type,load_latency_s,activate_latency_s,infer_latency_s,output_text,sleep_latency_s,sleep_allocator_phase,sleep_allocator_latency_s,sleep_allocator_copy_d2h_s,sleep_allocator_unmap_release_s,sleep_allocator_cpu_backup_alloc_s,sleep_allocator_cpu_backup_pool_hit_count,sleep_allocator_cpu_backup_pool_miss_count,sleep_allocator_cpu_backup_pool_reserved_bytes,sleep_allocator_cpu_backup_pool_free_bytes,sleep_allocator_allocation_count,sleep_allocator_total_bytes,sleep_allocator_backup_bytes,sleep_allocator_discard_bytes,sleep_allocator_bytes_by_tag,sleep_allocator_backup_bytes_by_tag,sleep_allocator_discard_bytes_by_tag,ok,wake_latency_s
0,0,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,load,8.569149570539594,8.569149570539594,0.09452213812619448, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.40958990436047316,allocator_sleep,0.40747503004968166,0.05456285737454891,0.026241368614137173,0.32125746365636587,0,41,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,
1,0,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,load,9.856577892787755,9.856577892787755,0.12856832891702652, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.9416520958766341,allocator_sleep,0.9358774079009891,0.16934297140687704,0.03151237033307552,0.7295040600001812,0,76,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,
2,1,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.10742350481450558,0.08834391087293625, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.08519147802144289,allocator_sleep,0.08342472184449434,0.05333420727401972,0.02897598873823881,1.0639429092407227e-05,41,0,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.10742350481450558
3,1,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.3162266621366143,0.11936246044933796, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.20406066812574863,allocator_sleep,0.19821970257908106,0.16486007533967495,0.0329843508079648,2.1258369088172913e-05,76,0,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.3162266621366143
4,2,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.1026645302772522,0.08760788943618536, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.08527726400643587,allocator_sleep,0.0834156358614564,0.05330220237374306,0.028992893174290657,1.1019408702850342e-05,41,0,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.1026645302772522
5,2,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.3159205112606287,0.11861210502684116, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.20413856208324432,allocator_sleep,0.19811097532510757,0.16471580509096384,0.03304145857691765,2.0108185708522797e-05,76,0,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.3159205112606287
6,3,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.10264358017593622,0.0875507416203618, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.08515175897628069,allocator_sleep,0.08338976837694645,0.0532736973837018,0.029001564718782902,1.1323951184749603e-05,41,0,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.10264358017593622
7,3,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.3158712750300765,0.1188832987099886, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.20373491942882538,allocator_sleep,0.19799817074090242,0.16478007938712835,0.03284346591681242,1.8821097910404205e-05,76,0,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.3158712750300765
8,4,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.10295465309172869,0.08787227608263493, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.08523661829531193,allocator_sleep,0.08357182890176773,0.053396232426166534,0.02904010657221079,1.277681440114975e-05,41,0,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.10295465309172869
9,4,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.31611950509250164,0.11877032462507486, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.20362562872469425,allocator_sleep,0.1979080680757761,0.16454598028212786,0.03301548771560192,1.9976869225502014e-05,76,0,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.31611950509250164
