step_index,iteration,model_index,model_name,model_path,activate_type,load_latency_s,activate_latency_s,infer_latency_s,output_text,sleep_latency_s,sleep_allocator_phase,sleep_allocator_latency_s,sleep_allocator_copy_d2h_s,sleep_allocator_unmap_release_s,sleep_allocator_cpu_backup_alloc_s,sleep_allocator_cpu_backup_pool_hit_count,sleep_allocator_cpu_backup_pool_miss_count,sleep_allocator_cpu_backup_reuse_count,sleep_allocator_cpu_backup_reused_bytes,sleep_allocator_cpu_backup_pool_reserved_bytes,sleep_allocator_cpu_backup_pool_free_bytes,sleep_allocator_allocation_count,sleep_allocator_total_bytes,sleep_allocator_backup_bytes,sleep_allocator_discard_bytes,sleep_allocator_bytes_by_tag,sleep_allocator_backup_bytes_by_tag,sleep_allocator_discard_bytes_by_tag,ok,wake_latency_s
0,0,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,load,8.553058350458741,8.553058350458741,0.09388820361346006, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.42198274936527014,allocator_sleep,0.41987782157957554,0.05515589192509651,0.02625481877475977,0.33301850873976946,0,41,0,0,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,
1,0,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,load,9.866463509388268,9.866463509388268,0.12930123787373304, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.9912581881508231,allocator_sleep,0.9854442737996578,0.1732319723814726,0.03212038800120354,0.7744944375008345,0,76,0,0,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,
2,1,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.1070291567593813,0.08801234234124422, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.0504943011328578,allocator_sleep,0.048376492224633694,0.0,0.04727737698704004,0.0,0,0,41,1048576000,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.1070291567593813
3,1,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.31768308486789465,0.11896162666380405, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.10233225673437119,allocator_sleep,0.0965112866833806,0.0,0.09621156752109528,0.0,0,0,76,3250585600,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.31768308486789465
4,2,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.10269679222255945,0.0874135410413146, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.050225090235471725,allocator_sleep,0.04838955216109753,0.0,0.04728345666080713,0.0,0,0,41,1048576000,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.10269679222255945
5,2,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.3192280335351825,0.11874567065387964, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.10233956295996904,allocator_sleep,0.09654750674962997,0.0,0.09622735995799303,0.0,0,0,76,3250585600,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.3192280335351825
6,3,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.1024744464084506,0.08738891687244177, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.050284842029213905,allocator_sleep,0.04836943279951811,0.0,0.04727181792259216,0.0,0,0,41,1048576000,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.1024744464084506
7,3,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.31773530412465334,0.11854430381208658, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.10230119898915291,allocator_sleep,0.09655431285500526,0.0,0.09621774312108755,0.0,0,0,76,3250585600,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.31773530412465334
8,4,0,qwen2p5_0p5b,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,wake,,0.10273153427988291,0.08751473296433687, GPU memory is crucial for LLM serving because it allows the model to store large amounts of data and perform complex computations efficiently. This enables the model to process large,0.04989938251674175,allocator_sleep,0.04833780787885189,0.0,0.04724054876714945,0.0,0,0,41,1048576000,1048576000,0,65,4773117952,1048576000,3724541952,"{""kv_cache"": 3724541952, ""weights"": 1048576000}","{""weights"": 1048576000}","{""kv_cache"": 3724541952}",True,0.10273153427988291
9,4,1,qwen2p5_1p5b,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,wake,,0.31749885994940996,0.11862811259925365, GPU memory is crucial for LLM serving as it enables efficient computation and storage of large language models.,0.10214312188327312,allocator_sleep,0.09656201954931021,0.0,0.09623941499739885,0.0,0,0,76,3250585600,3250585600,0,104,4542431232,3250585600,1291845632,"{""kv_cache"": 1291845632, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 1291845632}",True,0.31749885994940996
